name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Brody Kelsay,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Tyler Kleindl,57,0,1,13,3,0.813,0,0,0,8,1,0.889,0,0,0,1,0,1,3,0,1,0,0,0
Landon Seward,35,9,0.795,21,5,0.808,0,0,0,11,2,0.846,1,0,1,3,0,1,6,3,0.667,0,0,0
Ryan Borris,156.5,6,0.963,43,12,0.782,2,1,0.667,20,0,1,3,0,1,8,6,0.571,8,5,0.615,0,0,0
Mason Mcgrane,12,7,0.632,14,5,0.737,0,0,0,11,1,0.917,1,0,1,0,2,0,2,2,0.5,0,0,0
Keaton Snitker,0,0,0,2,1,0.667,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0.5,0,0,0
Brendan Oberg,34,15,0.694,14,7,0.667,0,0,0,9,5,0.643,0,0,0,2,0,1,3,2,0.6,0,0,0
Trappier Botz,74,24,0.755,25,13,0.658,0,0,0,6,12,0.333,0,0,0,7,0,1,11,1,0.917,0,0,0
Nicholas Witt,28,14,0.667,15,9,0.625,0,0,0,4,2,0.667,1,0,1,3,2,0.6,7,5,0.583,0,0,0
Cole Vatnsdal,52,27,0.658,19,12,0.613,0,0,0,15,5,0.75,0,0,0,1,3,0.25,3,4,0.429,0,0,0
Mason Teaser,24,24,0.5,15,10,0.6,0,0,0,9,7,0.563,0,1,0,1,0,1,5,2,0.714,0,0,0
AJ Sparr,103,23,0.817,29,20,0.592,0,0,0,13,6,0.684,0,2,0,4,0,1,8,10,0.444,0,0,0
Blaze Nelson,46.5,13,0.782,23,16,0.59,0,0,0,12,9,0.571,0,2,0,3,1,0.75,7,4,0.636,0,0,0
Hunter Meyers,0,0,0,5,4,0.556,0,0,0,3,4,0.429,0,0,0,1,0,1,1,0,1,0,0,0
Cody Vatnsdal,45,12,0.789,24,22,0.522,1,1,0.5,10,9,0.526,0,1,0,1,4,0.2,11,5,0.688,0,0,0
Xavier Homelvig,18,16,0.529,3,3,0.5,0,0,0,3,2,0.6,0,0,0,0,1,0,0,0,0,0,0,0
Tate Runge,74,49,0.602,25,25,0.5,0,0,0,14,11,0.56,0,2,0,3,3,0.5,5,9,0.357,0,0,0
Deryk Neu,31,12,0.721,7,8,0.467,0,0,0,4,3,0.571,0,0,0,0,1,0,1,0,1,0,0,0
Gavryn Fernholz,30,5,0.857,13,15,0.464,0,0,0,13,14,0.481,0,1,0,0,0,0,0,0,0,0,0,0
Kelly Johnson,68,37,0.648,25,30,0.455,1,1,0.5,12,14,0.462,0,0,0,3,4,0.429,9,11,0.45,0,0,0
Wyatt Snitker,19,12,0.613,5,6,0.455,0,0,0,2,5,0.286,1,0,1,2,0,1,0,1,0,0,0,0
JP Rodel,66,38,0.635,23,28,0.451,0,0,0,16,17,0.485,1,0,1,1,2,0.333,5,9,0.357,0,0,0
Connor Lay,18,6,0.75,3,4,0.429,0,0,0,1,3,0.25,0,0,0,0,0,0,0,1,0,0,0,0
Kyler Miller,68,44,0.607,17,25,0.405,1,0,1,13,14,0.481,0,0,0,0,4,0,2,7,0.222,0,0,0
Kylen Athey,12,5,0.706,2,3,0.4,0,0,0,2,1,0.667,0,1,0,0,0,0,0,1,0,0,0,0
Jeris Lemm,0,6,0,2,3,0.4,0,0,0,2,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0
Bryr Homelvig,42,37,0.532,15,23,0.395,0,0,0,10,14,0.417,0,0,0,0,3,0,4,6,0.4,0,0,0
Isaac Saffert,19,27,0.413,9,14,0.391,0,0,0,6,11,0.353,0,0,0,1,0,1,1,3,0.25,0,0,0
Logan Johnson,0,0,0,3,5,0.375,0,0,0,1,5,0.167,0,0,0,1,0,1,1,0,1,0,0,0
Bryce Kraker,24,18,0.571,6,12,0.333,0,0,0,6,10,0.375,0,0,0,0,1,0,0,1,0,0,0,0
Jackson Saffert,0,6,0,3,6,0.333,0,0,0,3,5,0.375,0,0,0,0,0,0,0,1,0,0,0,0
Cyler Coauette,10,17,0.37,7,18,0.28,0,0,0,2,14,0.125,0,1,0,1,1,0.5,4,2,0.667,0,0,0
Evan Strand,12,27,0.308,5,14,0.263,0,0,0,4,9,0.308,0,1,0,0,1,0,1,3,0.25,0,0,0
Trent Koloski,12,21,0.364,2,6,0.25,0,0,0,2,4,0.333,0,1,0,0,0,0,0,1,0,0,0,0
Cole Ehlert,0,21,0,5,15,0.25,0,0,0,1,10,0.091,0,1,0,0,1,0,4,3,0.571,0,0,0
Jack Roth,34,48,0.415,6,19,0.24,0,0,0,6,17,0.261,0,0,0,0,2,0,0,0,0,0,0,0
Landon Day,0,0,0,1,4,0.2,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Cody Richardson,26,65,0.286,6,27,0.182,0,0,0,2,19,0.095,0,1,0,0,0,0,2,7,0.222,0,0,0
Davyun Schaefer,0,0,0,1,5,0.167,0,0,0,1,4,0.2,0,0,0,0,0,0,0,1,0,0,0,0
Mason Evjen,0,0,0,1,5,0.167,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0.333,0,0,0
Zachary Richards,0,0,0,1,6,0.143,0,0,0,0,4,0,0,1,0,0,1,0,1,0,1,0,0,0
Sam Wicken,0,0,0,1,7,0.125,0,0,0,1,7,0.125,0,0,0,0,0,0,0,0,0,0,0,0
Wyatt Marshall,12,34,0.261,2,16,0.111,0,0,0,2,13,0.133,0,1,0,0,1,0,0,1,0,0,0,0
Ryan Schultz,6,50,0.107,2,27,0.069,0,0,0,1,17,0.056,0,2,0,0,3,0,1,5,0.167,0,0,0
Brayden Fiala,0,30,0,1,17,0.056,0,0,0,1,17,0.056,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Chlian,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cohen Hunter,0,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Laurent,0,17,0,0,17,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0
Dylan Marshall,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone Smith,0,18,0,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
Caden Williams,0,36,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
